"ReleaseNumber","Class","SortOrder","Group","NamespacePrefix","NamespaceName","URI","Link","Properties","Types","Codes"
"4.1","group",1,"Core","","","",,"1,586","269","185"
"4.1","namespace",1,"Core","nc","NIEM Core","http://release.niem.gov/niem/niem-core/4.0/","http://release.niem.gov/niem/niem-core/4.0/niem-core.xsd","1,586","269","185"
"4.1","group",2,"Domain","","","",,"9,727","2,501","9,393"
"4.1","namespace",2,"Domain","ag","Agriculture","http://release.niem.gov/niem/domains/agriculture/4.0/","http://release.niem.gov/niem/domains/agriculture/4.0/agriculture.xsd","64","8",""
"4.1","namespace",2,"Domain","biom","Biometrics","http://release.niem.gov/niem/domains/biometrics/4.1/","http://release.niem.gov/niem/domains/biometrics/4.1/biom.xsd","1,014","590","1,328"
"4.1","namespace",2,"Domain","cbrn","Chemical, Biological, Radiological, and Nuclear","http://release.niem.gov/niem/domains/cbrn/4.1/","http://release.niem.gov/niem/domains/cbrn/4.1/cbrn.xsd","608","147",""
"4.1","namespace",2,"Domain","em","Emergency Management","http://release.niem.gov/niem/domains/emergencyManagement/4.1/","http://release.niem.gov/niem/domains/emergencyManagement/4.1/emergencyManagement.xsd","687","287","1,198"
"4.1","namespace",2,"Domain","hs","Human Services","http://release.niem.gov/niem/domains/humanServices/4.1/","http://release.niem.gov/niem/domains/humanServices/4.1/hs.xsd","812","276","1,048"
"4.1","namespace",2,"Domain","im","Immigration","http://release.niem.gov/niem/domains/immigration/4.1/","http://release.niem.gov/niem/domains/immigration/4.1/immigration.xsd","457","95","1,388"
"4.1","namespace",2,"Domain","intel","Intelligence","http://release.niem.gov/niem/domains/intelligence/4.1/","http://release.niem.gov/niem/domains/intelligence/4.1/intelligence.xsd","66","17",""
"4.1","namespace",2,"Domain","ip","Infrastructure Protection","http://release.niem.gov/niem/domains/infrastructureProtection/4.0/","http://release.niem.gov/niem/domains/infrastructureProtection/4.0/infrastructureProtection.xsd","31","8","3"
"4.1","namespace",2,"Domain","it","International Trade","http://release.niem.gov/niem/domains/internationalTrade/4.1/","http://release.niem.gov/niem/domains/internationalTrade/4.1/internationalTrade.xsd","534","91",""
"4.1","namespace",2,"Domain","j","Justice","http://release.niem.gov/niem/domains/jxdm/6.1/","http://release.niem.gov/niem/domains/jxdm/6.1/jxdm.xsd","4,147","498","209"
"4.1","namespace",2,"Domain","m","Maritime","http://release.niem.gov/niem/domains/maritime/4.1/","http://release.niem.gov/niem/domains/maritime/4.1/maritime.xsd","339","47","180"
"4.1","namespace",2,"Domain","mo","Military Operations","http://release.niem.gov/niem/domains/militaryOperations/4.1/","http://release.niem.gov/niem/domains/militaryOperations/4.1/mo.xsd","306","132","130"
"4.1","namespace",2,"Domain","scr","Screening","http://release.niem.gov/niem/domains/screening/4.1/","http://release.niem.gov/niem/domains/screening/4.1/screening.xsd","599","255","3,731"
"4.1","namespace",2,"Domain","st","Surface Transportation","http://release.niem.gov/niem/domains/surfaceTransportation/4.1/","http://release.niem.gov/niem/domains/surfaceTransportation/4.1/st.xsd","63","50","178"
"4.1","group",3,"Adapter","","","",,"10","16",""
"4.1","namespace",3,"Adapter","edxl-cap","EDXL Common Alerting Protocol","http://release.niem.gov/niem/adapters/edxl-cap/4.0/","http://release.niem.gov/niem/adapters/edxl-cap/4.0/edxl-cap.xsd","1","1",""
"4.1","namespace",3,"Adapter","edxl-de","EDXL Distribution Element","http://release.niem.gov/niem/adapters/edxl-de/4.0/","http://release.niem.gov/niem/adapters/edxl-de/4.0/edxl-de.xsd","1","1",""
"4.1","namespace",3,"Adapter","edxl-have","EDXL Hospital Availability Exchange","http://release.niem.gov/niem/adapters/edxl-have/4.0/","http://release.niem.gov/niem/adapters/edxl-have/4.0/edxl-have.xsd","1","1",""
"4.1","namespace",3,"Adapter","geo","Geospatial","http://release.niem.gov/niem/adapters/geospatial/4.0/","http://release.niem.gov/niem/adapters/geospatial/4.0/geospatial.xsd","7","13",""
"4.1","group",5,"Code Set","","","",,"5","1,084","65,536"
"4.1","namespace",5,"Code Set","aamva_d20","Data Dictionary for Traffic Record Systems (ANSI D20) codes","http://release.niem.gov/niem/codes/aamva_d20/4.0/","http://release.niem.gov/niem/codes/aamva_d20/4.0/aamva_d20.xsd","","84","732"
"4.1","namespace",5,"Code Set","ag_codes","Agriculture domain codes","http://release.niem.gov/niem/codes/ag_codes/4.0/","http://release.niem.gov/niem/codes/ag_codes/4.0/ag_codes.xsd","","62","79"
"4.1","namespace",5,"Code Set","apco","Association of Public-Safety Communications Officials (APCO) codes","http://release.niem.gov/niem/codes/apco_event/4.0/","http://release.niem.gov/niem/codes/apco_event/4.0/apco_event.xsd","","8","206"
"4.1","namespace",5,"Code Set","atf","Bureau of Alcohol, Tobacco, and Firearms (ATF) codes","http://release.niem.gov/niem/codes/atf/4.0/","http://release.niem.gov/niem/codes/atf/4.0/atf.xsd","","8","98"
"4.1","namespace",5,"Code Set","can","Canada Post codes","http://release.niem.gov/niem/codes/canada_post/4.0/","http://release.niem.gov/niem/codes/canada_post/4.0/post-canada.xsd","","2","13"
"4.1","namespace",5,"Code Set","cbrncl","CBRN domain codes","http://release.niem.gov/niem/codes/cbrncl/4.0/","http://release.niem.gov/niem/codes/cbrncl/4.0/cbrncl.xsd","","131","2,435"
"4.1","namespace",5,"Code Set","census","US Census Bureau county codes","http://release.niem.gov/niem/codes/census_uscounty/4.0/","http://release.niem.gov/niem/codes/census_uscounty/4.0/census_uscounty.xsd","","2","3,235"
"4.1","namespace",5,"Code Set","cjis","FBI Criminal Justice Information System (CJIS) codes","http://release.niem.gov/niem/codes/fbi_cjis/4.0/","http://release.niem.gov/niem/codes/fbi_cjis/4.0/fbi_cjis.xsd","","2","24"
"4.1","namespace",5,"Code Set","commodity","Standard Classification of Transported Goods (SCTG) Commodity Codes","http://release.niem.gov/niem/codes/census_commodity/4.0/","http://release.niem.gov/niem/codes/census_commodity/4.0/census_commodity.xsd","","8","131"
"4.1","namespace",5,"Code Set","dea","Drug Enforcement Administration (DEA) Controlled Substances codes","http://release.niem.gov/niem/codes/dea_ctlsub/4.0/","http://release.niem.gov/niem/codes/dea_ctlsub/4.0/dea.xsd","","6","482"
"4.1","namespace",5,"Code Set","dod_jcs-pub2.0","DoD Joint Publication 2.0 (JP 2-0) - Joint Intelligence codes","http://release.niem.gov/niem/codes/dod_jcs-pub2.0/4.0/","http://release.niem.gov/niem/codes/dod_jcs-pub2.0/4.0/dod_jcs-pub2.0.xsd","","2","11"
"4.1","namespace",5,"Code Set","dol","Standard Occupational Classification (SOC) occupation codes","http://release.niem.gov/niem/codes/dol_soc/4.0/","http://release.niem.gov/niem/codes/dol_soc/4.0/dol_soc.xsd","","2","840"
"4.1","namespace",5,"Code Set","edxl_rm","Emergency Data Exchange Language (EDXL) Resource Messaging codes","http://release.niem.gov/niem/codes/edxl_rm/4.0/","http://release.niem.gov/niem/codes/edxl_rm/4.0/edxl_rm.xsd","","4","24"
"4.1","namespace",5,"Code Set","fips_5-2","Federal Information Processing Standards (FIPS) 5-2 US state codes","http://release.niem.gov/niem/codes/fips_5-2/4.0/","http://release.niem.gov/niem/codes/fips_5-2/4.0/fips_5-2.xsd","","2","69"
"4.1","namespace",5,"Code Set","have-codes","EDXL Hospital AVailability Exchange (HAVE) codes","http://release.niem.gov/niem/codes/edxl_have/4.0/","http://release.niem.gov/niem/codes/edxl_have/4.0/have-codes.xsd","","24","43"
"4.1","namespace",5,"Code Set","hazmat","DOT Hazardous Materials (HAZMAT) codes","http://release.niem.gov/niem/codes/dot_hazmat/4.0/","http://release.niem.gov/niem/codes/dot_hazmat/4.0/dot_hazmat.xsd","","2","2,441"
"4.1","namespace",5,"Code Set","hl7","Health Level Seven (HL-7) religion codes","http://release.niem.gov/niem/codes/hl7/4.0/","http://release.niem.gov/niem/codes/hl7/4.0/hl7.xsd","","2","83"
"4.1","namespace",5,"Code Set","iso_3166","ISO 3166 country and subdivision codes","http://release.niem.gov/niem/codes/iso_3166-1/4.0/","http://release.niem.gov/niem/codes/iso_3166-1/4.0/iso_3166.xsd","","8","5,698"
"4.1","namespace",5,"Code Set","iso_4217","ISO 4217 currency codes","http://release.niem.gov/niem/codes/iso_4217/4.0/","http://release.niem.gov/niem/codes/iso_4217/4.0/iso_4217.xsd","","2","182"
"4.1","namespace",5,"Code Set","iso_639-3","ISO 639-3 language codes","http://release.niem.gov/niem/codes/iso_639-3/4.0/","http://release.niem.gov/niem/codes/iso_639-3/4.0/iso_639-3.xsd","","2","8,393"
"4.1","namespace",5,"Code Set","itcodes","International Trade domain codes","http://release.niem.gov/niem/codes/it_codes/4.0/","http://release.niem.gov/niem/codes/it_codes/4.0/it_codes.xsd","","44","2,219"
"4.1","namespace",5,"Code Set","jc3iedm","DoD Joint Consultation, Command and Control Information Exchange Data Model (JC3IEDM) codes","http://release.niem.gov/niem/codes/jc3iedm/4.0/","http://release.niem.gov/niem/codes/jc3iedm/4.0/jc3iedm.xsd","2","4","364"
"4.1","namespace",5,"Code Set","jp3-52","DoD Joint Publication 3-52 (JP3-52) Joint Airspace Control codes","http://release.niem.gov/niem/codes/jp3-52/4.0/","http://release.niem.gov/niem/codes/jp3-52/4.0/jp3-52.xsd","3","5","117"
"4.1","namespace",5,"Code Set","mmucc","Model Minimum Uniform Crash Criteria (MMUCC) codes","http://release.niem.gov/niem/codes/mmucc/4.1/","http://release.niem.gov/niem/codes/mmucc/4.1/mmucc.xsd","","146","700"
"4.1","namespace",5,"Code Set","ncic","FBI National Crime and Information Center (NCIC) codes","http://release.niem.gov/niem/codes/fbi_ncic/4.0/","http://release.niem.gov/niem/codes/fbi_ncic/4.0/fbi_ncic.xsd","","180","30,317"
"4.1","namespace",5,"Code Set","ndex","FBI National Data Exchange (N-DEx) Specification codes","http://release.niem.gov/niem/codes/fbi_ndex/4.1/","http://release.niem.gov/niem/codes/fbi_ndex/4.1/fbi_ndex.xsd","","240","4,352"
"4.1","namespace",5,"Code Set","nga","National Geospatial Agency (NGA) codes","http://release.niem.gov/niem/codes/nga_datum/4.0/","http://release.niem.gov/niem/codes/nga_datum/4.0/nga_datum.xsd","","4","50"
"4.1","namespace",5,"Code Set","nibrs","FBI National Incident-Based Reporting System (NIBRS) codes","http://release.niem.gov/niem/codes/fbi_nibrs/4.1/","http://release.niem.gov/niem/codes/fbi_nibrs/4.1/fbi_nibrs.xsd","","12","156"
"4.1","namespace",5,"Code Set","nlets","The International Justice and Public Safety Information Sharing Network (NLETS) codes","http://release.niem.gov/niem/codes/nlets/4.0/","http://release.niem.gov/niem/codes/nlets/4.0/nlets.xsd","","6","20"
"4.1","namespace",5,"Code Set","occs","OMNI Class Building Codes","http://release.niem.gov/niem/codes/occs_facility/4.0/","http://release.niem.gov/niem/codes/occs_facility/4.0/occs_facility.xsd","","6","1,006"
"4.1","namespace",5,"Code Set","sar","Suspicious Activity Reporting (SAR) codes","http://release.niem.gov/niem/codes/pmise_sar/4.0/","http://release.niem.gov/niem/codes/pmise_sar/4.0/sar.xsd","","8","76"
"4.1","namespace",5,"Code Set","ucr","FBI Uniform Crime Reporting (UCR) codes","http://release.niem.gov/niem/codes/fbi_ucr/4.1/","http://release.niem.gov/niem/codes/fbi_ucr/4.1/fbi_ucr.xsd","","46","371"
"4.1","namespace",5,"Code Set","unece","United Nations Economic Commission for Europe (UNECE) Recommendation 20 (UN/CEFACT) measure codes","http://release.niem.gov/niem/codes/unece_rec20/4.0/","http://release.niem.gov/niem/codes/unece_rec20/4.0/unece_rec20-misc.xsd","","12","151"
"4.1","namespace",5,"Code Set","usda_fsa","United Stated Department of Agriculture (USDA) Farm Service Agency (FSA) codes","http://release.niem.gov/niem/codes/usda_fsa/4.0/","http://release.niem.gov/niem/codes/usda_fsa/4.0/usda_fsa.xsd","","4","347"
"4.1","namespace",5,"Code Set","usps","U.S. Postal Service (USPS) codes","http://release.niem.gov/niem/codes/usps_states/4.0/","http://release.niem.gov/niem/codes/usps_states/4.0/usps_states.xsd","","2","62"
"4.1","namespace",5,"Code Set","xCard","vCard XML representation codes","http://release.niem.gov/niem/codes/xCard/4.0/","http://release.niem.gov/niem/codes/xCard/4.0/xCard.xsd","","2","9"
"4.1","total",99,"Total","","","",,"11,328","3,870","75,114"
